기준년월,상권구분코드( 발달상권 1 골목상권 2 기타 3 ),소속구역명,소속구역 ( 소속구역 한정 1 소속구역 반경 500m 2 소속구역 반경 1000m 3),주거인구 수,관공서 수,금융기관 수,교육시설 수,유통점 수 ,초중고교 수,대표상권유형
2021-06-01,1,모란상권 진흥구역,1,1223,0,2,1,1,0,역세권
2021-06-01,1,모란상권 진흥구역,2,17793,3,8,13,2,3,역세권
2021-06-01,1,모란상권 진흥구역,3,54488,10,16,36,2,5,역세권
2021-06-01,1,모란오거리 상권,1,4599,2,6,5,1,0,역세권
2021-06-01,1,모란오거리 상권,2,16183,4,9,12,2,2,역세권
2021-06-01,1,모란오거리 상권,3,57771,9,13,36,2,5,역세권
2021-06-01,1,복정상권,1,9910,2,1,7,1,1,대학가
2021-06-01,1,복정상권,2,1925,2,1,5,0,0,대학가
2021-06-01,1,복정상권,3,16612,2,3,12,0,2,대학가
2021-06-01,1,서현역로데오 상권,1,0,1,14,2,3,0,역세권
2021-06-01,1,서현역로데오 상권,2,17899,4,17,8,4,1,역세권
2021-06-01,1,서현역로데오 상권,3,57137,8,27,33,7,6,역세권
2021-06-01,1,수내역로데오 상권,1,1372,1,11,2,1,0,역세권
2021-06-01,1,수내역로데오 상권,2,14036,2,10,9,1,2,역세권
2021-06-01,1,수내역로데오 상권,3,50731,6,30,24,3,8,역세권
2021-06-01,1,수진동 상권,1,623,0,2,0,0,0,상업지역
2021-06-01,1,수진동 상권,2,28498,6,10,21,1,1,상업지역
2021-06-01,1,수진동 상권,3,91014,17,29,67,1,9,상업지역
2021-06-01,1,수진역-신흥역 상권,1,3164,2,9,1,0,0,상업지역
2021-06-01,1,수진역-신흥역 상권,2,25059,4,3,17,0,8,상업지역
2021-06-01,1,수진역-신흥역 상권,3,88540,16,30,68,2,14,상업지역
2021-06-01,1,신흥동 상권,1,351,1,2,0,0,0,상업지역
2021-06-01,1,신흥동 상권,2,29856,7,10,28,1,2,상업지역
2021-06-01,1,신흥동 상권,3,98148,18,33,80,2,9,상업지역
2021-06-01,1,야탑 먹자골목,1,185,2,4,0,0,0,역세권
2021-06-01,1,야탑 먹자골목,2,17557,4,12,16,4,2,역세권
2021-06-01,1,야탑 먹자골목,3,58150,8,15,57,4,8,역세권
2021-06-01,1,야탑역 상권,1,0,0,4,0,1,0,역세권
2021-06-01,1,야탑역 상권,2,9970,4,12,6,2,2,역세권
2021-06-01,1,야탑역 상권,3,56018,7,16,47,4,6,역세권
2021-06-01,1,여수동 상권,1,974,0,0,1,0,0,오피스지역
2021-06-01,1,여수동 상권,2,14273,2,2,22,1,2,오피스지역
2021-06-01,1,여수동 상권,3,34778,7,15,40,4,4,오피스지역
2021-06-01,1,오리역 상권,1,1777,1,2,0,0,0,역세권
2021-06-01,1,오리역 상권,2,8582,1,4,10,2,0,역세권
2021-06-01,1,오리역 상권,3,57741,5,10,38,6,8,역세권
2021-06-01,1,정자1동 카페거리,1,6087,1,2,1,1,0,역세권
2021-06-01,1,정자1동 카페거리,2,15216,3,9,4,2,2,역세권
2021-06-01,1,정자1동 카페거리,3,61436,6,22,26,6,9,역세권
2021-06-01,1,태평동 전통 상권,1,2171,2,8,5,0,0,상업지역
2021-06-01,1,태평동 전통 상권,2,26862,3,16,25,1,2,상업지역
2021-06-01,1,태평동 전통 상권,3,101554,22,26,69,2,8,상업지역
2021-06-01,1,판교역로 상권,1,0,0,3,0,0,0,오피스지역
2021-06-01,1,판교역로 상권,2,9183,1,10,8,2,0,오피스지역
2021-06-01,1,판교역로 상권,3,48852,3,24,50,4,7,오피스지역
2021-06-01,1,판교테크노밸리,1,0,0,10,2,0,0,오피스지역
2021-06-01,1,판교테크노밸리,2,9361,1,11,10,2,1,오피스지역
2021-06-01,1,판교테크노밸리,3,43333,5,24,49,4,7,오피스지역
2021-06-01,1,하대원시장,1,334,0,0,0,0,0,상업지역
2021-06-01,1,하대원시장,2,9733,1,2,7,0,3,상업지역
2021-06-01,1,하대원시장,3,37088,4,6,46,0,13,상업지역
2021-06-01,2,금광1동 상권,1,3288,1,1,11,1,1,기타지역
2021-06-01,2,금광1동 상권,2,20618,5,5,20,1,3,기타지역
2021-06-01,2,금광1동 상권,3,83912,12,20,99,2,10,기타지역
2021-06-01,2,금광2동 상권,1,9805,0,0,10,0,0,대학가
2021-06-01,2,금광2동 상권,2,23441,7,5,32,0,5,대학가
2021-06-01,2,금광2동 상권,3,90400,20,16,85,0,12,대학가
2021-06-01,2,상대원3동 상권,1,7355,0,3,10,0,0,주거지역
2021-06-01,2,상대원3동 상권,2,30992,3,6,34,0,2,주거지역
2021-06-01,2,상대원3동 상권,3,64740,11,18,78,2,7,주거지역
2021-06-01,2,위례서일로,1,4323,0,3,0,0,0,기타지역
2021-06-01,2,위례서일로,2,6433,0,3,0,0,0,기타지역
2021-06-01,2,위례서일로,3,33344,3,6,23,0,7,기타지역
2021-06-01,2,은행동 상권,1,5487,1,2,5,0,1,대학가
2021-06-01,2,은행동 상권,2,29209,3,4,26,0,2,대학가
2021-06-01,2,은행동 상권,3,73255,11,11,73,0,13,대학가
2021-06-01,2,정자동 상권,1,1906,0,2,2,0,0,주거지역
2021-06-01,2,정자동 상권,2,20558,1,2,13,0,3,주거지역
2021-06-01,2,정자동 상권,3,83798,8,32,40,5,12,주거지역
2021-06-01,2,태평역상권,1,3914,2,1,4,0,0,역세권
2021-06-01,2,태평역상권,2,22554,5,9,13,0,0,역세권
2021-06-01,2,태평역상권,3,65208,11,21,51,1,9,역세권
2021-06-01,3,단대시장 상권,1,1595,2,4,5,0,0,역세권
2021-06-01,3,단대시장 상권,2,15867,5,3,24,0,6,역세권
2021-06-01,3,단대시장 상권,3,80647,16,15,88,1,13,역세권
2021-06-01,3,도촌동 상권,1,1651,1,2,0,0,0,주거지역
2021-06-01,3,도촌동 상권,2,7371,2,2,9,0,1,주거지역
2021-06-01,3,도촌동 상권,3,23137,3,2,29,1,3,주거지역
2021-06-01,3,미금현대벤처빌 상권,1,1034,2,1,2,0,0,역세권
2021-06-01,3,미금현대벤처빌 상권,2,22693,4,11,19,3,0,역세권
2021-06-01,3,미금현대벤처빌 상권,3,54644,6,11,47,5,7,역세권
2021-06-01,3,백현동 상권,1,4103,0,1,0,0,0,주거지역
2021-06-01,3,백현동 상권,2,7347,1,1,4,0,2,주거지역
2021-06-01,3,백현동 상권,3,32917,5,22,17,5,4,주거지역
2021-06-01,3,서현 전통상권,1,599,0,4,1,1,0,상업지역
2021-06-01,3,서현 전통상권,2,20156,1,8,16,2,5,상업지역
2021-06-01,3,서현 전통상권,3,58290,6,13,48,5,10,상업지역
2021-06-01,3,수내 전통상권,1,2323,0,1,0,0,0,주거지역
2021-06-01,3,수내 전통상권,2,19699,2,18,12,2,2,주거지역
2021-06-01,3,수내 전통상권,3,54611,6,29,26,2,7,주거지역
2021-06-01,3,야탑3동 상권,1,1001,1,1,0,0,0,주거지역
2021-06-01,3,야탑3동 상권,2,21373,1,2,16,1,3,주거지역
2021-06-01,3,야탑3동 상권,3,57788,7,12,53,5,8,주거지역
2021-06-01,3,정자동 먹자골목 상권,1,343,1,4,2,1,0,상업지역
2021-06-01,3,정자동 먹자골목 상권,2,18001,3,5,18,1,3,상업지역
2021-06-01,3,정자동 먹자골목 상권,3,80359,8,15,58,6,14,상업지역
2021-06-01,3,중앙동상권,1,4706,1,2,1,0,0,역세권
2021-06-01,3,중앙동상권,2,17261,4,9,20,1,1,역세권
2021-06-01,3,중앙동상권,3,86542,12,21,86,2,7,역세권
